title,author,isbn,publicationYear,numberOfCopies
Attack on Titan: Volume 13,Hajime Isayama,9781612626864,2014,9
Antiques Roadkill: A Trash 'n' Treasures Mystery,Barbara Allan,9780758272799,2007,2
The Art of Super Mario Odyssey,Nintendo,9781506713816,2019,6
Getting Away Is Deadly: An Ellie Avery Mystery,Sara Rosett,9781617734076,2009,5
"The Painted Man (The Demon Cycle, Book 1)",Peter V. Brett,9780007287758,2009,9
"A Feast for Crows (A Song of Ice and Fire, Book 4)",George R.R. Martin,9780007369218,2011,4
God of War: The Official Novelization,J.M. Barlog,9781789090154,2018,10
Edgedancer: From the Stormlight Archive,Brandon Sanderson,9781250166609,2017,3
"Blood, Sweat, and Pixels: The Triumphant, Turbulent Stories Behind How Video Games Are Made",Jason Schreier,9780062651242,2017,2
Twas The Nightshift Before Christmas: Festive hospital diaries from the author of million-copy hit This is Going to Hurt,Adam Kay,9781529018592,2019,5
Sword of Destiny: Witcher 2: Tales of the Witcher,Andrzej Sapkowski,9781473211551,2015,1
The Mysterious Affair at Styles (Poirot),Agatha Christie,9780007422586,2010,6
Riley Paige Mystery Bundle: Once Gone (#1) and Once Taken (#2),Blake Pierce,9781632917072,2016,6
Deadpool Kills the Marvel Universe,Cullen Bunn,9781302368807,2014,8
The Red Signal: An Agatha Christie Short Story,Agatha Christie,9780007452170,2011,5
Crossroads of Twilight: Book Ten of 'The Wheel of Time',Robert Jordan,9781429960748,2010,10
My Little Pony: Friendship is Magic #83,Thom Zahler,Original pages,2019,3
That Time I got Reincarnated as a Slime 11,Story by FUSE,9781646590797,2019,4
Ask A Footballer,James Milner,9781529404937,2019,7
Edgedancer: From the Stormlight Archive,Brandon Sanderson,9781250166609,2017,5
Sonic the Hedgehog #3,Ian Flynn,Original pages,2018,2
Ultimate Spider-Man Vol. 11: Carnage,Brian Michael Bendis,9780785180197,2014,5
The Last Wife: An absolutely gripping and emotional page turner with a brilliant twist,Nicola Marsh,9781838880514,2019,4
The Mysterious Affair at Styles (Poirot),Agatha Christie,9780007422586,2010,1
The Hitchhiker's Guide to the Galaxy: 42nd Anniversary Edition,Douglas Adams,9780330513081,2009,3
"Prince of Thorns (The Broken Empire, Book 1)",Mark Lawrence,9780007423309,2011,3
Influence: The Psychology of Persuasion,"Robert B. Cialdini, PhD",9780061899874,2009,3
Critical Role Vox Machina: Origins: Volume 1,Matthew Mercer,9781506714820,2019,8
Introducing Critical Theory: A Graphic Guide,Stuart Sim,9781840469097,2004,3
Morning Star,Pierce Brown,9780345539854,2016,6
Tall Tales and Wee Stories: The Best of Billy Connolly,Billy Connolly,9781529361353,2019,5
After Anna,Alex Lake,9780008150907,2015,7
How to Win Friends and Influence People,Dale Carnegie,9781409005216,2010,10
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,9781838880415,2019,8
W is for Wasted: A Kinsey Millhone Novel,Sue Grafton,9781101636459,2013,3
The Empty Nest: An unputdownably gripping psychological thriller,Sue Watson,9781838880415,2019,4
Salvaged,Madeleine Roux,9780451491848,2019,7
The Art of Thinking Clearly,Rolf Dobelli,9780062359803,2014,9
